Garden,WholePlotID,SplitPlotID,PlantID,Cyanotype,Cyanogenesis,Ac_ac,Li_li,Precipitation,Herbivores,Survived21,Flowered21,Seeded21,FlowerHeadNumber21,SeedSetMass21,MaxArea21,GrowthRate21,Herbivory21,SurvivedWinter,Survived22,Flowered22,Seeded22,FlowerHeadNumber22,SeedSetMass22,MaxArea22,GrowthRate22,Herbivory22
Ontario,42,2,2,Acli,Acyanogenic,Ac,li,Reduced,Control,0,1,0,3,0,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,42,2,3,acLi,Acyanogenic,ac,Li,Reduced,Control,1,1,1,NA,0.0981,1908.13,0.053728498,2.266666667,0,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,42,2,4,acli,Acyanogenic,ac,li,Reduced,Control,1,0,0,0,0,788.49,0.022412509,35.4,0,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,43,1,1,AcLi,Cyanogenic,Ac,Li,Reduced,Control,0,0,0,0,0,333.08,0.042907081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,43,1,2,Acli,Acyanogenic,Ac,li,Reduced,Control,1,0,0,0,0,182.45,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,43,1,3,acLi,Acyanogenic,ac,Li,Reduced,Control,1,0,0,0,0,124.79,0.055975249,NA,1,0,0,0,0,0,16.39,0.031115659,NA
Ontario,43,1,4,acli,Acyanogenic,ac,li,Reduced,Control,1,1,1,93,1.3256,780,0.045614946,14.33333333,1,0,1,1,1,0.0043,68.71,0.012457095,27.53333333
Ontario,43,2,1,AcLi,Cyanogenic,Ac,Li,Control,Control,1,1,1,1,0.0362,458.01,0.0606349,22.53333333,0,NA,NA,NA,NA,NA,221.85,NA,NA
Ontario,43,2,2,Acli,Acyanogenic,Ac,li,Control,Control,1,0,0,0,0,6.05,0.023388898,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,43,2,3,acLi,Acyanogenic,ac,Li,Control,Control,0,0,0,0,0,52.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,43,2,4,acli,Acyanogenic,ac,li,Control,Control,1,1,1,60,2.1783,1420.39,0.033430666,15.73333333,1,1,1,1,47,1.1935,75.05,NA,15.33333333
Ontario,44,1,1,AcLi,Cyanogenic,Ac,Li,Reduced,Control,1,1,1,1,0.051,1106.15,0.018511433,22.93333333,1,1,1,1,199,2.5302,1263.05,0.022800045,12.86666667
Ontario,44,1,2,Acli,Acyanogenic,Ac,li,Reduced,Control,0,0,0,0,0,63.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
